abox_Sk|585653795/143-204 abox
abox_Sp|390347693/277-338 abox
abox_Xb|g546.t1/198-259 abox
abox_p_nak|g27559.t1/197-258 abox
abox_Bf|XP_002602985.1/140-201 abox
abox_Ce|ceh-19/94-155 abox
abox_Dm|CG34031/133-194 abox
abox_Pa|g545.t1/217-278 abox
abox_Ct|ELU07957.1/14-75 abox
abox_Of|1176100913/131-192 abox
abox_Of|1176056123/116-177 abox
abox_Pd|XP_027048355.1/130-191 abox
abox_Of|1176098162/124-185 abox
abox_Nv|NVE11830/118-179 abox
abox_Ep|XP_020917452.1/100-161 abox
abox_Ad|XP_015751477.1/116-177 abox
abox_Pd|XP_027048343.1/115-176 abox
abox_Of|1176056118/123-184 abox
abox_Of|1176056135/112-173 abox
abox_Nv|NVE21231/120-181 abox
abox_Of|1176056129/109-170 abox
abox_Pd|XP_027040287.1/120-181 abox
abox_Of|1176085256/121-182 abox
abox_d_gig|g32494.t1/98-159 abox
barhl_Sk|259013358/193-254 barhl
barhl_Hs|BARHL2/232-293 barhl
barhl_Ce|ceh-30/95-156 barhl
barhl_Hs|BARHL1/178-239 barhl
barhl_Ct|ELT89857.1/35-96 barhl
barhl_Ce|ceh-31/94-155 barhl
barhl_Cg|762163070/171-232 barhl
barhl_Bf|XP_002596391.1/176-237 barhl
barhl_p_nak|g49784.t1/169-230 barhl
barhl_Cg|762163074/172-233 barhl
barhl_Sk|585724092/206-267 barhl
barhl_Ac|871210474/591-652 barhl
barhl_La|919090512/228-289 barhl
barhl_Ac|524880586/659-720 barhl
barhl_Cg|762163076/124-185 barhl
barhl_Sp|390341618/296-357 barhl
barhl_Cg|762163080/128-189 barhl
barhl_Pa|g13923.t1/176-237 barhl
barhl_Ci|699247936/231-292 barhl
barhl_Dm|B-H1/299-360 barhl
barhl_Dm|B-H2/380-441 barhl
bari_Sk|585668722/110-171 bari
bari_Xb|g1008.t1/160-221 bari
bari_p_nak|g24685.t1/70-131 bari
bari_Dm|CG11085/160-221 bari
bari_Sp|780171214/99-160 bari
bari_Bf|XP_002600253.1/79-140 bari
bari_Ct|ELU17302.1/1-62 bari
bari_p_nak|g47410.t1/133-194 bari
bari_Of|1176098646/67-128 bari
bari_Ad|XP_015753213.1/71-132 bari
bari_Nv|NVE18480/89-150 bari
bari_Ep|XP_020911512.1/86-147 bari
bari_Ad|XP_015753211.1/87-148 bari
bari_d_gig|g12973.t1/78-139 bari
bari_Pd|XP_027054637.1/72-133 bari
bari_Of|1176098776/76-137 bari
bari_Nv|NVE1454/78-139 bari
bari_Of|1176098742/90-151 bari
bari_Of|1176098772/66-127 bari
bari_Ad|XP_015753212.1/71-132 bari
bari_Pd|XP_027054630.1/84-145 bari
bari_Of|1176098774/72-133 bari
bari_Pd|XP_027054629.1/68-129 bari
bari_d_gig|g12742.t1/129-190 bari
bari_Pd|XP_027054624.1/88-149 bari
bari_Ad|XP_015753208.1/116-177 bari
bari_Of|1176098760/88-149 bari
bari_Ep|XP_020909552.1/92-153 bari
bari_d_gig|g12974.t1/72-133 bari
bari_d_gig|g12972.t1/75-136 bari
bari_d_gig|g12975.t1/78-139 bari
barx_Nv|NVE18290/155-216 barx
barx_Ci|459184778/157-218 barx
barx_Of|1176064412/105-166 barx
barx_Pd|XP_027047749.1/74-135 barx
barx_Sk|585654459/598-659 barx
barx_Hs|BARX2/133-194 barx
barx_Sk|585700835/55-116 barx
barx_Ad|XP_015764587.1/126-187 barx
barx_Sp|780036024/184-245 barx
barx_Ci|459177913/400-461 barx
barx_Ac|871217720/148-209 barx
barx_La|919066664/134-195 barx
barx_Hs|BARX1/142-203 barx
barx_d_gig|g12224.t1/106-167 barx
barx_Ci|198429109/324-385 barx
barx_Bf|XP_002610680.1/187-248 barx
barx_p_nak|g2592.t1/316-377 barx
barx_Pa|g16662.t1/95-156 barx
barx_Xb|g9128.t1/28-89 barx
barx_Cg|762092911/121-182 barx
barx_p_nak|g45910.t1/173-234 barx
bsx_La|919021303/112-173 bsx
bsx_Ci|198418239/304-365 bsx
bsx_Bf|XP_002610070.1/101-162 bsx
bsx_Ce|tab-1/120-181 bsx
bsx_Hs|BSX/110-171 bsx
bsx_Dm|bsh/274-335 bsx
